Title,Named-entity,Sentence
Sundar Pichai,Infobox,Infobox person name                Sundar Pichai image               Sundar pichai.png caption             Pichai in 2020 birth_name
Sundar Pichai,2020,Infobox person name                Sundar Pichai image               Sundar pichai.png caption             Pichai in 2020 birth_name
Sundar Pichai,Pichai Sundararajan,"         Pichai Sundararajan birth_date           birth_place         Madurai, Tamil Nadu, India citizenship         United States death_date           death_place          boards               spouse              Anjali Pichai children            2 awards               education           IIT Kharagpur (BTech)Stanford University (MS)University of Pennsylvania (MBA) title               CEO of Alphabet Inc."
Sundar Pichai,Madurai,"         Pichai Sundararajan birth_date           birth_place         Madurai, Tamil Nadu, India citizenship         United States death_date           death_place          boards               spouse              Anjali Pichai children            2 awards               education           IIT Kharagpur (BTech)Stanford University (MS)University of Pennsylvania (MBA) title               CEO of Alphabet Inc."
Sundar Pichai,Tamil Nadu,"         Pichai Sundararajan birth_date           birth_place         Madurai, Tamil Nadu, India citizenship         United States death_date           death_place          boards               spouse              Anjali Pichai children            2 awards               education           IIT Kharagpur (BTech)Stanford University (MS)University of Pennsylvania (MBA) title               CEO of Alphabet Inc."
Sundar Pichai,India,"         Pichai Sundararajan birth_date           birth_place         Madurai, Tamil Nadu, India citizenship         United States death_date           death_place          boards               spouse              Anjali Pichai children            2 awards               education           IIT Kharagpur (BTech)Stanford University (MS)University of Pennsylvania (MBA) title               CEO of Alphabet Inc."
Sundar Pichai,IIT Kharagpur,"         Pichai Sundararajan birth_date           birth_place         Madurai, Tamil Nadu, India citizenship         United States death_date           death_place          boards               spouse              Anjali Pichai children            2 awards               education           IIT Kharagpur (BTech)Stanford University (MS)University of Pennsylvania (MBA) title               CEO of Alphabet Inc."
Sundar Pichai,BTech)Stanford University,"         Pichai Sundararajan birth_date           birth_place         Madurai, Tamil Nadu, India citizenship         United States death_date           death_place          boards               spouse              Anjali Pichai children            2 awards               education           IIT Kharagpur (BTech)Stanford University (MS)University of Pennsylvania (MBA) title               CEO of Alphabet Inc."
Sundar Pichai,Alphabet Inc.,"         Pichai Sundararajan birth_date           birth_place         Madurai, Tamil Nadu, India citizenship         United States death_date           death_place          boards               spouse              Anjali Pichai children            2 awards               education           IIT Kharagpur (BTech)Stanford University (MS)University of Pennsylvania (MBA) title               CEO of Alphabet Inc."
Sundar Pichai,"June 10, 1972","Alphabet and Google signature           Sundarpichaisignature.svgPichai Sundararajan (born June 10, 1972 He is the chief executive officer (CEO) of Alphabet Inc. and its subsidiary Google."
